INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
MVU-9233,,SAN DIEGO,ANGEL,09/15/07,09/21/07,CDF,837,,837,B,CAMPFIRE,24,0,0,0
ANF-4306,,ANGELES,RANCH,10/20/07,10/30/07,USFS,,58401,58401,BG,UI,10,2,0,0
MVU-010432,,SAN DIEGO,WITCH,10/21/07,10/31/07,CDF,197990,,197990,TGB,EQUIP. USE,1650,85,0,0
MVU-010427,,SAN DIEGO,HARRIS,10/21/07,11/09/07,CDF,90440,,90440,B,UNDET.,472,257,0,1
LAC-07232185,,LOS ANGELES,BUCKWEED,10/21/07,10/26/07,CDF,38356,,38356,GB,UI,63,30,0,0
ORC-68555,,ORANGE,SANTIAGO,10/21/07,11/08/07,CDF,28400,,28400,BG,HUMAN,24,20,0,0
LAC-07231849,,LOS ANGELES,CANYON,10/21/07,10/27/07,CDF,4521,,4521,B,UI,8,14,0,0
CNF-2786,,SAN DIEGO,MCCOY,10/21/07,10/25/07,USFS,,353,353,G,UI,2,0,0,0
LPF-1783,,SANTA BARBARA,SEDGEWICK,10/21/07,10/23/07,USFS,,710,710,BG,UI,0,0,0,0
BDF-10570,,SAN BERNARDINO,SLIDE,10/22/07,10/31/07,USFS,,12759,12759,TG,UI,272,43,0,0
MVU-10502,,SAN DIEGO,RICE,10/22/07,11/05/07,CDF,9472,,9472,G,HUMAN/OTHER,248,245,0,0
BDF-10566,,SAN BERNARDINO,GRASS VALLEY,10/22/07,10/29/07,USFS,,1247,1247,TB,UI,178,22,0,0
LAC-07233077,,LOS ANGELES,MAGIC,10/22/07,10/27/07,CDF,2824,,2824,BG,UI,0,0,0,0
SMC-5592,,SAN DIEGO,CORONADO HILLS,10/22/07,10/23/07,SMC,,300,300,B,UI,2,0,0,0
MVU-10643,,SAN DIEGO,POOMACHA,10/23/07,11/11/07,CDF,49410,,49410,B,MISC.,217,12,0,0
MCP-001111,,SAN DIEGO,AMMO FIRE,10/23/07,10/28/07,MIL.,,21004,21004,G,UI,0,0,0,0
YNP-4850,,MARIPOSA,JACK,10/29/07,12/15/07,NPS,,1108,1108,TB,LIGHTNING,0,0,0,0
INF-1271,,MONO,O'HARRELL,10/30/07,11/15/07,USFS,,560,560,TG,LIGHTNING,0,0,0,0
LAC-259483,,LOS ANGELES,CORRAL,11/24/07,11/27/07,CDF,4901,,4901,B,HUMAN,86,46,0,0
BBD-920,,KERN,WOFFORD,05/13/07,05/15/07,BLM,,525,525,G,UI,2,0,0,0
