INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
KNP-0039,55%,FRESNO,SHEEP,7/16/10,,NPS,,8967,8967,T,LIGHTNING,0,0,0,0
YNP-2777,55%,TUOLUMME,SLOPE,7/25/10,,NPS,,1711,1711,T,LIGHTNING,0,0,0,0
YNP-3213,90%,TUOLUMME,VERNON,8/8/10,,NPS,,909,909,T,LIGHTNING,0,0,0,0
SNF-1497,50%,MADERA,BUCKHORN,8/7/10,,USFS,,466,466,T,LIGHTNING,0,0,0,0
KRN-1013254,100%,KERN,METZEN,5/15/10,5/15/10,CALFIRE/CC,360,,360,G,OTHER,1,0,0,0
RRU-41963,100%,RIVERSIDE,PEDLEY,5/12/10,5/13/10,CALFIRE,850,,850,G,UI,0,0,0,0
RRU-044545,100%,RIVERSIDE,MCKINLEY,5/20/10,5/22/10,CALFIRE,1000,,1000,G,HUMAN,0,0,0,0
SCU-002282,100%,STANISLAUS,STUHR,6/8/10,6/10/10,CALFIRE,586,,586,G,EQUIPMENT,0,0,0,0
MMU-008291,100%,MERCED,ROBINSON,6/11/10,6/12/10,CALFIRE,1600,,1600,G,UI,0,0,0,0
TUU-0000098,100%,TULARE,BALE,6/4/10,6/4/10,CALFIRE,485,,485,G,EQUIPMENT,0,0,0,0
FKU-0006047,100%,FRESNO,WHITES,6/7/10,6/7/10,CALFIRE,350,,350,G,EQUIPMENT,0,0,0,0
SCU-002461,100%,ALAMEDA,DIABLO,6/18/10,6/19/10,CALFIRE,475,,475,G,UI,1,0,0,0
MMU-007933,100%,MERCED,CHILDS,6/5/10,6/5/10,CALFIRE,462,,462,G,HUMAN,0,0,0,0
BTU-0007746,100%,BUTTE,PALERMO,7/4/10,7/5/10,CALFIRE,900,,900,BG,MISUSE OF FIRE,0,0,0,0
SBC-006024,100%,SANTA BARBARA,166,7/12/10,7/12/10,CALFIRE/CC,350,,350,G,UNDETERMINED,1,0,0,0
RRU-062475,100%,RIVERSIDE,SKINNER,7/15/10,7/18/10,CALFIRE,503,,503,G,LIGHTNING,0,0,0,0
RRU-062442,100%,RIVERSIDE,CACTUS,7/15/10,7/18/10,CALFIRE,720,,720,G,LIGHTNING,1,0,0,0
KRN-21461,100%,KERN,WEST,7/27/10,8/6/10,CALFIRE,1650,,1650,BG,EQUIPMENT,50,13,0,0
LAC-10169202,100%,LOS ANGELES,CROWN,7/29/10,8/3/10,CALFIRE/CC,14000,,14000,BG,UNDETERMINED,10,6,0,0
LAC-10169229,100%,LOS ANGELES,BRIGGS,7/29/10,7/30/10,CALFIRE/CC,530,,530,T,UI,0,0,0,0
TUU-0320,100%,TULARE,STOKES 2,8/17/10,8/18/10,CALFIRE,879,,879,G,HUMAN,0,0,0,0
