INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
NEU-0017796,100%,PLACER,BASELINE,8/20/10,8/21/10,CALFIRE,434,,434,,UNDETERMINED,0,0,0,0
MVU-9309,100%,SAN DIEGO,MONTE,8/21/10,8/23/10,CAL FIRE,929,,929,BGT,UI,0,0,0,0
SCU-3525,100%,CONTRA COSTA,CURRY,8/24/10,8/31/10,CALFIRE/CC,375,,375,BGT,OTHER,0,0,0,0
LNU-6365,100%,LAKE,INDIAN,8/24/10,8/26/10,CALFIRE,450,,450,B,UNDETERMINED,0,0,0,0
NEU-18316,100%,NEVADA,BULLARDS,8/27/10,9/13/10,CALFIRE,1500,,1500,G,OTHER,0,0,0,0
KRN-24500,100%,KERN,POST,8/25/10,8/28/10,CALFIRE/CC,1312,,1312,G,UNDETERMINED,0,0,0,0
MVU-9767,100%,SAN DIEGO,COWBOY,9/2/10,9/7/10,CAL FIRE,827,,827,B,UI,0,0,0,0
SLU-6481,100%,SAN LUIS OBISPO,POZO,8/21/10,8/22/10,CALFIRE,1200,,1200,BG,UNDETERMINED,0,0,0,0
CND-1112,100%,SAN LUIS OBISPO,COTTON,5/15/10,5/17/10,USFS,,2044,2044,G,UI,0,0,0,0
MCP-2054,100%,SAN DIEGO,ALISO,7/13/10,7/15/10,MILITARY/USFS,,3225,3225,BG,UI,0,0,0,0
CND-2466,100%,KERN,BODFISH,7/15/10,7/18/10,USFS,,552,552,BG,LIGHTNING,0,0,0,0
CDD-11051,100%,KERN,SAND 2,7/16/10,7/22/10,USFS,,1254,1254,B,LIGHTNING,0,0,0,0
CDD-11175,100%,KERN,INDIAN,7/18/10,7/24/10,USFS,,1822,1822,G,LIGHTNING,0,0,0,0
OVD-903,100%,MONO,PATATO,7/24/10,7/27/10,USFS,,686,686,B,LIGHTNING,0,0,0,0
KNF-5561,100%,SISKIYOU,DUTCH,7/31/10,8/4/10,USFS,,371,371,TG,UI,0,0,0,0
INF-934,100%,MONO,MONO,7/26/10,7/29/10,USFS,,1205,1205,B,LIGHTNING,0,0,0,0
ANF-3201,100%,LOS ANGELES,BRIGGS,7/29/10,7/30/10,USFS,,510,510,B,UI,0,0,0,0
NOD-3688,100%,LASSEN,MCDONALD,7/27/10,8/10/10,USFS,,9408,9408,BG,LIGHTNING,0,0,0,0
PNF-0700,100%,PLUMAS,BAR,7/31/10,8/10/10,USFS,,1040,1040,T,UI,0,0,0,0
SQF--2701,100%,KERN,BULL,7/26/10,8/10/10,USFS,,16442,16442,B,HUMAN,14,0,0,0
TNF-1579,100%,YUBA,BULLARD,8/27/10,8/31/10,USFS,,1307,1307,T,HUMAN,0,0,0,0
STF-35641,100%,KERN,CANYON,9/12/10,9/19/10,USFS,,9820,9820,GB,HUMAN,1,0,0,0
STF-2269,100%,TUOLUMME,PINECREST,8/9/10,10/15/10,USFS,,799,799,T,LIGHTNING,0,0,0,0
