INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
SNF-1689,100%,MADERA,WILLOW,7/25/15,8/15/15,USFS,,5702,5702,T,UNDETERMINED,0,0,0,0,,
MDF-570,100%,MODOC,FROG,7/30/15,8/6/15,USFS,,4863,4863,T,LIGHTNING,0,0,1,0,,
SHF-2066,100%,TRINITY,RIVER COMPLEX,7/30/15,10/15/15,USFS,,77081,77081,T,LIGHTNING,0,0,0,0,,
SRF-1476,100%,HUMBOLDT,ROUTE COMPLEX,7/30/15,8/31/15,USFS,,35675,35675,T,LIGHTNING,2,0,0,0,,
SHF-2067,100%,TRINITY,FORK COMPLEX (split into Fork and South),7/30/15,8/29/15,USFS,,36499,36499,TBG,UNDETERMINED,12,0,0,0,,
SRF-1433,100%,TRINITY,MAD RIVER COMPLEX,7/30/15,9/3/15,USFS,,37462,37462,T,LIGHTNING,4,0,0,0,,
SNF-1746,100%,FRESNO,ROUGH,7/31/15,12/1/15,USFS,6,151617,151623,TBG,LIGHTNING,4,0,0,0
SHF-2108,100%,TRINITY,SOUTH COMPLEX,8/1/15,10/1/15,USFS,,29416,29416,T,LIGHTNING,3,0,0,0,,
SRF-1470,100%,DEL NORTE,NICKOWITZ,8/1/15,9/30/15,USFS,,7509,7509,T,LIGHTNING,0,0,0,0,,
NOD-3806,100%,LASSEN,DODGE,8/3/15,8/17/15,BLM,,10570,10570,B,HUMAN,0,0,0,0,,
SRF-1488,100%,DEL NORTE,GASQUET COMPLEX,7/31/15,10/15/15,USFS,,30361,30361,T,LIGHTNING,0,0,0,0,,
MCP-2459,100%,SAN DIEGO,HORNO,8/13/15,8/17/15,DOD,,1846,1846,B,HUMAN,0,0,0,0,,
ANF-3611,100%,LOS ANGELES,CABIN,8/14/15,8/20/15,USFS,,1723,1723,B,UNDETERMINED,3,0,0,0,,
INF-1319,100%,MONO,WALKER,8/14/15,8/31/15,USFS,,3676,3676,TBG,UNDETERMINED,0,0,0,0,,
ANF-3651,100%,LOS ANGELES,WARM,8/16/15,8/19/15,USFS,,300,300,B,UNDETERMINED,3,3,0,0,,
KRN-30112,100%,KERN,DEER,8/18/15,8/20/15,KRN,,311,311,TBG,UNDETERMINED,0,0,0,0,,
YNP-123,100%,MARIPOSA,TENAYA,9/7/15,9/16/15,USFS,,415,415,TB,UNDETERMINED,0,0,0,0,,
VNC-89187,100%,VENTURA,SOLIMAR,12/25/15,12/28/15,VNC,,1288,1288,B,UNDETERMINED,0,0,0,0,,
